Score,Flips left,Heads,Tails,Action,Reward
 15, 47, 3, 0, 0, -1
 16, 62, 0, 0, 3, 15
 16, 61, 1, 0, 0, -1
 16, 60, 2, 0, 0, -1
 16, 59, 3, 0, 0, -1
 17, 74, 0, 0, 3, 15
 17, 73, 1, 0, 0, -1
 17, 72, 2, 0, 0, -1
 17, 71, 3, 0, 0, -1
 17, 41, 0, 0, 3,-30
 17, 40, 0, 1, 0, -1
 17, 39, 0, 2, 0, -1
 18, 54, 0, 0, 2, 15
 18, 53, 1, 0, 0, -1
 18, 52, 2, 0, 0, -1
 18, 51, 2, 1, 0, -1
 18, 50, 3, 1, 0, -1
 18, 49, 3, 2, 0, -1
 18, 48, 4, 2, 0, -1
 18, 47, 5, 2, 0, -1
 18, 46, 6, 2, 0, -1
 18, 45, 6, 3, 0, -1
 18, 44, 6, 4, 0, -1
 18, 43, 6, 5, 0, -1
 18, 42, 6, 6, 0, -1
 19, 57, 0, 0, 2, 15
 19, 56, 0, 1, 0, -1
 19, 55, 0, 2, 0, -1
 19, 25, 0, 0, 2,-30
 19, 24, 0, 1, 0, -1
 19, 23, 0, 2, 0, -1
 20, 38, 0, 0, 2, 15
 20, 37, 0, 1, 0, -1
 20, 36, 0, 2, 0, -1
 21, 51, 0, 0, 2, 15
 21, 50, 1, 0, 0, -1
 21, 49, 1, 1, 0, -1
 21, 48, 1, 2, 0, -1
 21, 47, 2, 2, 0, -1
 21, 46, 3, 2, 0, -1
 21, 45, 4, 2, 0, -1
 21, 44, 4, 3, 0, -1
 21, 43, 4, 4, 0, -1
 21, 42, 5, 4, 0, -1
 21, 41, 6, 4, 0, -1
 21, 40, 6, 5, 0, -1
 21, 39, 7, 5, 0, -1
 21, 38, 8, 5, 0, -1
 21, 37, 9, 5, 0, -1
 21, 36,10, 5, 0, -1
 21, 35,11, 5, 0, -1
 21, 34,12, 5, 0, -1
 22, 49, 0, 0, 3, 15
 22, 48, 1, 0, 0, -1
 22, 47, 1, 1, 0, -1
 22, 46, 2, 1, 0, -1
 22, 45, 3, 1, 0, -1
 22, 44, 4, 1, 0, -1
 22, 43, 5, 1, 0, -1
 23, 58, 0, 0, 3, 15
 23, 57, 0, 1, 0, -1
 23, 56, 1, 1, 0, -1
 23, 55, 2, 1, 0, -1
 23, 54, 3, 1, 0, -1
 23, 53, 4, 1, 0, -1
 23, 52, 5, 1, 0, -1
 24, 67, 0, 0, 3, 15
 24, 66, 0, 1, 0, -1
 24, 65, 1, 1, 0, -1
 24, 64, 2, 1, 0, -1
 24, 63, 3, 1, 0, -1
 24, 62, 4, 1, 0, -1
 24, 61, 4, 2, 0, -1
 24, 60, 4, 3, 0, -1
 24, 59, 5, 3, 0, -1
 24, 58, 5, 4, 0, -1
 24, 57, 5, 5, 0, -1
 25, 72, 0, 0, 2, 15
 25, 71, 0, 1, 0, -1
 25, 70, 0, 2, 0, -1
 26, 85, 0, 0, 2, 15
 26, 84, 1, 0, 0, -1
 26, 83, 2, 0, 0, -1
 26, 82, 3, 0, 0, -1
 27, 97, 0, 0, 3, 15
 27, 96, 1, 0, 0, -1
 27, 95, 1, 1, 0, -1
 27, 94, 1, 2, 0, -1
 27, 93, 2, 2, 0, -1
 27, 92, 3, 2, 0, -1
 27, 91, 3, 3, 0, -1
 27, 90, 4, 3, 0, -1
 27, 89, 4, 4, 0, -1
 27, 88, 5, 4, 0, -1
 27, 87, 6, 4, 0, -1
 27, 86, 7, 4, 0, -1
 27, 85, 8, 4, 0, -1
 27, 84, 8, 5, 0, -1
 27, 83, 9, 5, 0, -1
 27, 82,10, 5, 0, -1
 27, 81,11, 5, 0, -1
 27, 80,12, 5, 0, -1
 27, 50, 0, 0, 3,-30
 27, 49, 1, 0, 0, -1
 27, 48, 2, 0, 0, -1
 27, 47, 2, 1, 0, -1
 27, 46, 3, 1, 0, -1
 27, 45, 4, 1, 0, -1
 27, 44, 4, 2, 0, -1
 27, 43, 5, 2, 0, -1
 27, 42, 6, 2, 0, -1
 27, 41, 6, 3, 0, -1
 27, 40, 6, 4, 0, -1
 27, 39, 7, 4, 0, -1
 27, 38, 7, 5, 0, -1
 27, 37, 7, 6, 0, -1
 27, 36, 8, 6, 0, -1
 27, 35, 9, 6, 0, -1
 27, 34,10, 6, 0, -1
 27, 33,10, 7, 0, -1
 27, 32,10, 8, 0, -1
 28, 47, 0, 0, 2, 15
 28, 46, 1, 0, 0, -1
 28, 45, 1, 1, 0, -1
 28, 44, 2, 1, 0, -1
 28, 43, 3, 1, 0, -1
 28, 42, 3, 2, 0, -1
 28, 41, 4, 2, 0, -1
 28, 40, 5, 2, 0, -1
 28, 39, 6, 2, 0, -1
 28, 38, 7, 2, 0, -1
 29, 53, 0, 0, 3, 15
 29, 52, 0, 1, 0, -1
 29, 51, 1, 1, 0, -1
 29, 50, 1, 2, 0, -1
 29, 49, 1, 3, 0, -1
 30, 64, 0, 0, 2, 15
 30, 63, 1, 0, 0, -1
 30, 62, 1, 1, 0, -1
 30, 61, 2, 1, 0, -1
 30, 60, 2, 2, 0, -1
 30, 59, 3, 2, 0, -1
 30, 58, 4, 2, 0, -1
 30, 57, 5, 2, 0, -1
 30, 56, 5, 3, 0, -1
 30, 55, 6, 3, 0, -1
 30, 54, 7, 3, 0, -1
 30, 53, 8, 3, 0, -1
 31, 68, 0, 0, 3, 15
 31, 67, 1, 0, 0, -1
 31, 66, 1, 1, 0, -1
 31, 65, 2, 1, 0, -1
 31, 64, 3, 1, 0, -1
 31, 63, 4, 1, 0, -1
 31, 62, 5, 1, 0, -1
 32, 77, 0, 0, 3, 15
 32, 76, 0, 1, 0, -1
 32, 75, 0, 2, 0, -1
 33, 90, 0, 0, 2, 15
 33, 89, 1, 0, 0, -1
 33, 88, 1, 1, 0, -1
 33, 87, 1, 2, 0, -1
 33, 86, 1, 3, 0, -1
 34,101, 0, 0, 2, 15
 34,100, 1, 0, 0, -1
 34, 99, 2, 0, 0, -1
 34, 98, 2, 1, 0, -1
 34, 97, 3, 1, 0, -1
 34, 96, 4, 1, 0, -1
 34, 95, 5, 1, 0, -1
 35,110, 0, 0, 3, 15
 35,109, 1, 0, 0, -1
