Score,Flips left,Heads,Tails,Action,Reward
 34,109, 3, 3, 0, -1
 34,108, 3, 4, 0, -1
 35,123, 0, 0, 2, 15
 35,118, 1, 4, 1, -5
 36,133, 0, 0, 2, 15
 36,128, 4, 1, 1, -5
 36,127, 4, 2, 0, -1
 36,126, 5, 2, 0, -1
 36,125, 5, 3, 0, -1
 36,124, 5, 4, 0, -1
 36,123, 6, 4, 0, -1
 36,122, 6, 5, 0, -1
 36,121, 7, 5, 0, -1
 36,120, 8, 5, 0, -1
 36,119, 8, 6, 0, -1
 36,118, 8, 7, 0, -1
 37,133, 0, 0, 2, 15
 37,128, 3, 2, 1, -5
 37,127, 3, 3, 0, -1
 37,126, 3, 4, 0, -1
 37, 96, 0, 0, 2,-30
 37, 91, 2, 3, 1, -5
 37, 90, 2, 4, 0, -1
 38,105, 0, 0, 2, 15
 38,100, 4, 1, 1, -5
 38, 99, 5, 1, 0, -1
 39,114, 0, 0, 3, 15
 39,109, 3, 2, 1, -5
 39,108, 3, 3, 0, -1
 39,107, 3, 4, 0, -1
 40,122, 0, 0, 2, 15
 40,117, 2, 3, 1, -5
 40,116, 2, 4, 0, -1
 40, 86, 0, 0, 2,-30
 40, 81, 3, 2, 1, -5
 40, 80, 3, 3, 0, -1
 40, 79, 4, 3, 0, -1
 40, 78, 5, 3, 0, -1
 40, 77, 5, 4, 0, -1
 40, 76, 6, 4, 0, -1
 40, 75, 6, 5, 0, -1
 40, 74, 6, 6, 0, -1
 41, 89, 0, 0, 2, 15
 41, 84, 3, 2, 1, -5
 41, 83, 3, 3, 0, -1
 41, 82, 3, 4, 0, -1
 42, 97, 0, 0, 2, 15
 42, 92, 1, 4, 1, -5
 43,107, 0, 0, 2, 15
 43,102, 4, 1, 1, -5
 43,101, 4, 2, 0, -1
 43,100, 4, 3, 0, -1
 43, 99, 5, 3, 0, -1
 43, 98, 5, 4, 0, -1
 43, 97, 6, 4, 0, -1
 43, 96, 7, 4, 0, -1
 43, 95, 7, 5, 0, -1
 43, 94, 8, 5, 0, -1
 43, 93, 8, 6, 0, -1
 43, 92, 9, 6, 0, -1
 43, 91,10, 6, 0, -1
 43, 90,11, 6, 0, -1
 43, 89,12, 6, 0, -1
 43, 88,13, 6, 0, -1
 44,103, 0, 0, 3, 15
 44, 98, 4, 1, 1, -5
 44, 97, 5, 1, 0, -1
 45,112, 0, 0, 3, 15
 45,107, 2, 3, 1, -5
 45,106, 3, 3, 0, -1
 45,105, 4, 3, 0, -1
 45,104, 5, 3, 0, -1
 45,103, 6, 3, 0, -1
 45,102, 6, 4, 0, -1
 45,101, 7, 4, 0, -1
 45,100, 7, 5, 0, -1
 45, 99, 8, 5, 0, -1
 45, 98, 9, 5, 0, -1
 45, 97,10, 5, 0, -1
 45, 96,11, 5, 0, -1
 45, 95,12, 5, 0, -1
 46,110, 0, 0, 3, 15
 46,105, 5, 0, 1, -5
 47,120, 0, 0, 3, 15
 47,115, 2, 3, 1, -5
 47,114, 3, 3, 0, -1
 47,113, 4, 3, 0, -1
 47,112, 5, 3, 0, -1
 47,111, 5, 4, 0, -1
 47,110, 6, 4, 0, -1
 47,109, 6, 5, 0, -1
 47,108, 7, 5, 0, -1
 47,107, 8, 5, 0, -1
 47,106, 8, 6, 0, -1
 47,105, 9, 6, 0, -1
 47,104, 9, 7, 0, -1
 47,103, 9, 8, 0, -1
 48,118, 0, 0, 2, 15
 48,113, 5, 0, 1, -5
 49,128, 0, 0, 3, 15
 49,123, 3, 2, 1, -5
 49,122, 4, 2, 0, -1
 49,121, 5, 2, 0, -1
 49,120, 6, 2, 0, -1
 49,119, 7, 2, 0, -1
 50,134, 0, 0, 3, 15
 50,129, 4, 1, 1, -5
 50,128, 5, 1, 0, -1
 51,143, 0, 0, 3, 15
 51,138, 1, 4, 1, -5
 51,108, 0, 0, 2,-30
 51,103, 1, 4, 1, -5
 51, 73, 0, 0, 2,-30
 51, 68, 4, 1, 1, -5
 51, 67, 5, 1, 0, -1
 52, 82, 0, 0, 3, 15
 52, 77, 3, 2, 1, -5
 52, 76, 4, 2, 0, -1
 52, 75, 5, 2, 0, -1
 52, 74, 6, 2, 0, -1
 52, 73, 7, 2, 0, -1
 53, 88, 0, 0, 3, 15
 53, 83, 4, 1, 1, -5
 53, 82, 5, 1, 0, -1
 54, 97, 0, 0, 3, 15
 54, 92, 2, 3, 1, -5
 54, 91, 2, 4, 0, -1
 55,106, 0, 0, 2, 15
 55,101, 4, 1, 1, -5
 55,100, 5, 1, 0, -1
 56,115, 0, 0, 3, 15
